Nome Produto,Atributos
Console portátil ROG Ally  RC71L-NH010W,"['Windows 11 Home', 'AMD Ryzen™ Z1 Extreme Processor', 'AMD Radeon™ Graphics (AMD RDNA™ 3, 12 CUs, up to 2.7 GHz, up to 8.6 Teraflops)', '7-inch, FHD (1920 x 1080) 16:9, Refresh Rate: 120Hz', '16GB LPDDR5 on board', '512GB PCIe® 4.0 NVMe™ M.2 SSD']"
Smartphone Gamer ASUS ROG Phone 7 Ultimate,"['Qualcomm Snapdragon 8 Gen 2', 'LPDDR5X 16GB', 'UFS4.0 512GB']"
AeroActive Cooler 6 for ROG Phone 5/5s Series,[]
Smartphone Gamer ASUS ROG Phone 6 Pro,"['Qualcomm Snapdragon 8+ Gen 1', 'LPDDR5 18GB', 'UFS3.1 512GB', 'Bateria de 6000mAh']"
Smartphone Gamer ASUS ROG Phone 6D Ultimate,"['MediaTek Dimensity 9000+', 'LPDDR5X 16GB', 'UFS3.1 512GB', 'Bateria de 6000mAh']"
AeroActive Cooler 6,[]
Smartphone Gamer ASUS ROG Phone 6,"['Qualcomm Snapdragon 8+ Gen 1', 'LPDDR5 8GB', 'UFS3.1 256GB', 'Bateria de 6000mAh']"
Smartphone Gamer ASUS ROG Phone 6,"['Qualcomm Snapdragon 8+ Gen 1', 'LPDDR5 12GB', 'UFS3.1 256GB', 'Bateria de 6000mAh']"
Suporte inteligente para mochila  - Zenfone 9,[]
Smartphone ASUS Zenfone 9,"['Chipset Qualcomm® Snapdragon™ 8+ Gen 1', 'Tela 5,9"" AMOLED 120 Hz', 'Memória RAM de até 16 GB', 'Armazenamento de 128 ou 256 GB', 'Bateria de 4.300mAh', 'Proteção IP68']"
Capa Devilcase para Zenfone 9,"['Resistente e leve', 'Proteção de nível militar', 'Anel protetor de alumínio, para proteção da câmera', 'Botões construídos em liga de alumínio']"
ROG Phone 5 Lighting Armor Case,[]
ZenPower Slim,[]
ROG Ally Travel Case  ROG ALLY TRAVEL CASE,[]
ROG Gaming Charger Dock,[]
Smartphone ASUS Zenfone 10,"['Chipset Qualcomm® Snapdragon™ 8 Gen 2', 'Tela 5,9"" AMOLED FHD+ (2400x1080)', 'Câmera principal com sensor Sony® IMX766 de 50 MP', 'Memória RAM de até 16 GB', 'Armazenamento de até 512 GB', 'Bateria de 4.300 mAh', 'Proteção IP68']"
